problem_id,goal,task_success,task_plan,task_plan_success_prefix
train/pick_cool_then_place_in_recep-Mug-None-CoffeeMachine-20/trial_T20190906_161453_754806,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o MugType) \n                (receptacleType ?r CoffeeMachineType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_551 env_state env mug)\n(PutObjectInReceptacle_539 env_state env mug coffeemachine)')",False,"PickupObject_551, PutObjectInReceptacle_539",
train/pick_and_place_simple-TomatoSliced-None-Fridge-6/trial_T20190918_162404_957531,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n                (sliceable ?o)\n                (isSliced ?o) \n            )\n    )))', '(PickupObject_708 env_state env tomato)\n(SliceObject_202 env_state env tomato)\n(PutObjectInReceptacle_640 env_state env tomato fridge)')",False,"PickupObject_708, SliceObject_202, PutObjectInReceptacle_640",PickupObject_708
train/look_at_obj_in_light-Laptop-None-FloorLamp-205/trial_T20190907_130015_600297,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o LaptopType)\n                (holds ?a ?o)\n            )\n    ))))))', '(ToggleObjectOff_44 env_state env floorlamp)\n(PickupObject_1051 env_state env laptop)')",False,"ToggleObjectOff_44, PickupObject_1051",
train/pick_and_place_simple-Book-None-Cabinet-310/trial_T20190908_154222_896076,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BookType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_398 env_state env book)\n(PutObjectInReceptacle_326 env_state env book desk)')",False,"PickupObject_398, PutObjectInReceptacle_326","PickupObject_398, PutObjectInReceptacle_326"
train/pick_heat_then_place_in_recep-BreadSliced-None-GarbageCan-12/trial_T20190907_121108_221602,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BreadType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_211 env_state env bread)\n(SliceObject_271 env_state env bread)\n(HeatObject_94 env_state env bread toaster)\n(PickupObject_575 env_state env bread)\n(PutObjectInReceptacle_816 env_state env bread garbagecan)')",False,"PickupObject_211, SliceObject_271, HeatObject_94, PickupObject_575, PutObjectInReceptacle_816",PickupObject_211
train/pick_and_place_simple-Box-None-Sofa-205/trial_T20190907_214830_497445,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BoxType) \n                (receptacleType ?r SofaType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObjectFromReceptacle_19 env_state env box diningtable)\n(PutObjectOnReceptacle_13 env_state env box sofa)')",True,"PickupObjectFromReceptacle_19, PutObjectOnReceptacle_13","PickupObjectFromReceptacle_19, PutObjectOnReceptacle_13"
train/pick_and_place_simple-Box-None-Sofa-220/trial_T20190907_165527_462462,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BoxType) \n                (receptacleType ?r SofaType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_496 env_state env box)\n(PutObjectInReceptacle_157 env_state env box sofa)')",True,"PickupObject_496, PutObjectInReceptacle_157","PickupObject_496, PutObjectInReceptacle_157"
train/pick_cool_then_place_in_recep-Pot-None-CounterTop-17/trial_T20190908_235146_972017,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_1097 env_state env pot)\n(CoolObject_2 env_state env pot fridge)\n(PickupObject_340 env_state env pot)\n(PutObjectInReceptacle_653 env_state env pot countertop)')",False,"PickupObject_1097, CoolObject_2, PickupObject_340, PutObjectInReceptacle_653","PickupObject_1097, CoolObject_2"
train/pick_heat_then_place_in_recep-BreadSliced-None-DiningTable-19/trial_T20190907_203429_844011,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BreadType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_490 env_state env bread)\n(SliceObject_160 env_state env bread)\n(ToggleObjectOn_64 env_state env stoveburner)\n(CookSliceOfBread_0 env_state env bread stoveburner)\n(PutObjectInReceptacle_129 env_state env bread diningtable)')",False,"PickupObject_490, SliceObject_160, ToggleObjectOn_64, CookSliceOfBread_0, PutObjectInReceptacle_129",PickupObject_490
train/pick_and_place_simple-CD-None-Dresser-323/trial_T20190908_005459_168199,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o CDType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_653 env_state env cd)\n(PutObjectInReceptacle_692 env_state env cd dresser)')",False,"PickupObject_653, PutObjectInReceptacle_692",
train/pick_cool_then_place_in_recep-TomatoSliced-None-DiningTable-18/trial_T20190909_101511_247105,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(CoolObject_34 env_state env tomato fridge)\n(SliceObject_238 env_state env tomato)\n(PutObjectInReceptacle_478 env_state env tomato diningtable)')",False,"CoolObject_34, SliceObject_238, PutObjectInReceptacle_478",
train/pick_and_place_simple-AppleSliced-None-Microwave-14/trial_T20190908_171151_027975,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r MicrowaveType)\n                (inReceptacle ?o ?r) \n                (sliceable ?o)\n                (isSliced ?o) \n            )\n    )))', '(PickupObject_592 env_state env apple)\n(PutObjectInReceptacle_718 env_state env apple microwave)\n(CloseObject_9 env_state env microwave)\n(OpenObject_40 env_state env microwave)\n(PickupObject_287 env_state env apple)\n(SliceObject_172 env_state env apple)')",False,"PickupObject_592, PutObjectInReceptacle_718, CloseObject_9, OpenObject_40, PickupObject_287, SliceObject_172",PickupObject_592
train/pick_heat_then_place_in_recep-Apple-None-Fridge-12/trial_T20190909_151749_236238,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_59 env_state env apple)\n(HeatObject_57 env_state env apple microwave)\n(PutObjectInReceptacle_695 env_state env apple fridge)')",False,"PickupObject_59, HeatObject_57, PutObjectInReceptacle_695","PickupObject_59, HeatObject_57"
train/pick_heat_then_place_in_recep-Mug-None-Cabinet-6/trial_T20190908_034250_033547,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o MugType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_535 env_state env mug)\n(HeatObject_97 env_state env mug microwave)\n(PutObjectInReceptacle_231 env_state env mug cabinet)')",False,"PickupObject_535, HeatObject_97, PutObjectInReceptacle_231",
train/pick_heat_then_place_in_recep-Potato-None-SinkBasin-14/trial_T20190908_231758_432650,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_361 env_state env potato)\n(ToggleObjectOn_173 env_state env stoveburner)\n(HeatObject_100 env_state env potato stoveburner)\n(PickupObject_508 env_state env potato)\n(PutObjectInReceptacle_577 env_state env potato sinkbasin)')",False,"PickupObject_361, ToggleObjectOn_173, HeatObject_100, PickupObject_508, PutObjectInReceptacle_577",PickupObject_361
train/pick_and_place_simple-Pen-None-Shelf-310/trial_T20190909_113535_223329,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PenType) \n                (receptacleType ?r ShelfType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObjectFromReceptacle_4 env_state env pen desk)\n(PutObjectInReceptacle_255 env_state env pen shelf)')",True,"PickupObjectFromReceptacle_4, PutObjectInReceptacle_255","PickupObjectFromReceptacle_4, PutObjectInReceptacle_255"
train/pick_clean_then_place_in_recep-Kettle-None-CounterTop-18/trial_T20190908_025529_009980,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o KettleType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))', '(CleanObjectIfNeeded_2 env_state env kettle)\n(PickupObject_738 env_state env kettle)\n(PutObjectInReceptacle_541 env_state env kettle countertop)')",False,"CleanObjectIfNeeded_2, PickupObject_738, PutObjectInReceptacle_541",
train/pick_heat_then_place_in_recep-BreadSliced-None-GarbageCan-2/trial_T20190908_105707_315068,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BreadType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_1135 env_state env bread)\n(SliceObject_265 env_state env bread)\n(HeatObject_37 env_state env bread stoveburner)\n(PutObjectInReceptacle_861 env_state env bread garbagecan)')",False,"PickupObject_1135, SliceObject_265, HeatObject_37, PutObjectInReceptacle_861",PickupObject_1135
train/pick_clean_then_place_in_recep-Knife-None-SideTable-3/trial_T20190906_210539_903984,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o KnifeType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))', '(CleanObject_44 env_state env knife)\n(PickupObject_72 env_state env knife)\n(PutObjectInReceptacle_270 env_state env knife countertop)')",False,"CleanObject_44, PickupObject_72, PutObjectInReceptacle_270",
train/pick_heat_then_place_in_recep-Tomato-None-SideTable-21/trial_T20190909_012146_287700,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_334 env_state env tomato)\n(ToggleObjectOn_177 env_state env stoveburner tomato)\n(PickupObject_186 env_state env tomato)\n(PutObjectInReceptacle_817 env_state env tomato sidetable)')",False,"PickupObject_334, ToggleObjectOn_177, PickupObject_186, PutObjectInReceptacle_817",PickupObject_334
train/pick_clean_then_place_in_recep-Mug-None-CoffeeMachine-25/trial_T20190907_223942_379753,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o MugType) \n                (receptacleType ?r CoffeeMachineType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))', '(PickupObject_129 env_state env mug)\n(PutObjectInReceptacle_502 env_state env mug sinkbasin)\n(CleanObject_50 env_state env mug)\n(PickupObject_953 env_state env mug)\n(PutObjectInReceptacle_611 env_state env mug coffeemachine)')",False,"PickupObject_129, PutObjectInReceptacle_502, CleanObject_50, PickupObject_953, PutObjectInReceptacle_611","PickupObject_129, PutObjectInReceptacle_502"
train/pick_heat_then_place_in_recep-BreadSliced-None-GarbageCan-16/trial_T20190907_232412_371318,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BreadType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_939 env_state env bread)\n(SliceObject_270 env_state env bread)\n(ToggleObjectOn_159 env_state env toaster)\n(PutObject_93 env_state env bread garbagecan)')",False,"PickupObject_939, SliceObject_270, ToggleObjectOn_159, PutObject_93",
train/pick_cool_then_place_in_recep-Pot-None-DiningTable-23/trial_T20190909_061357_391676,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_412 env_state env pan)\n(PutObjectInReceptacle_684 env_state env pan fridge)\n(PickupObject_150 env_state env pan)\n(PutObjectInReceptacle_586 env_state env pan countertop)')",False,"PickupObject_412, PutObjectInReceptacle_684, PickupObject_150, PutObjectInReceptacle_586",PickupObject_412
train/pick_cool_then_place_in_recep-LettuceSliced-None-GarbageCan-20/trial_T20190909_125307_108909,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o LettuceType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_1001 env_state env lettuce)\n(SliceObject_51 env_state env lettuce)\n(PutObjectInReceptacle_228 env_state env lettuce fridge)\n(CoolObject_109 env_state env lettuce)\n(PickupObject_799 env_state env lettuce)\n(PutObjectInReceptacle_524 env_state env lettuce garbagecan)')",False,"PickupObject_1001, SliceObject_51, PutObjectInReceptacle_228, CoolObject_109, PickupObject_799, PutObjectInReceptacle_524",PickupObject_1001
train/pick_and_place_simple-Book-None-Cabinet-310/trial_T20190908_154238_160623,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BookType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_640 env_state env book)\n(PutObjectInReceptacle_557 env_state env book cabinet)')",False,"PickupObject_640, PutObjectInReceptacle_557",PickupObject_640
train/pick_heat_then_place_in_recep-Egg-None-GarbageCan-8/trial_T20190909_120617_866099,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_1095 env_state env egg)\n(HeatObject_165 env_state env egg microwave)\n(PutObjectInReceptacle_436 env_state env egg garbagecan)')",True,"PickupObject_1095, HeatObject_165, PutObjectInReceptacle_436","PickupObject_1095, HeatObject_165, PutObjectInReceptacle_436"
train/look_at_obj_in_light-KeyChain-None-FloorLamp-205/trial_T20190909_114633_189769,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o KeyChainType)\n                (holds ?a ?o)\n            )\n    ))))))', '(PickupObject_1118 env_state env keychain)\n(FindDimLightLocation_0 env_state env)\n(ExamineObject_10 env_state env keychain window)')",False,"PickupObject_1118, FindDimLightLocation_0, ExamineObject_10",PickupObject_1118
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o LettuceType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r) \n                (sliceable ?o)\n                (isSliced ?o) \n            )\n    )))', '(PickupObject_309 env_state env knife)\n(SliceObject_20 env_state env lettuce)\n(PutObjectInReceptacle_648 env_state env lettuce diningtable)')",False,"PickupObject_309, SliceObject_20, PutObjectInReceptacle_648",PickupObject_309
train/pick_and_place_simple-Plunger-None-Cabinet-405/trial_T20190908_120726_695995,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PlungerType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_5 env_state env plunger)\n(PutObjectInReceptacle_250 env_state env plunger cabinet)')",False,"PickupObject_5, PutObjectInReceptacle_250",PickupObject_5
train/look_at_obj_in_light-CreditCard-None-FloorLamp-228/trial_T20190908_113131_743545,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CreditCardType)\n                (holds ?a ?o)\n            )\n    ))))))', '')",False,,
train/pick_cool_then_place_in_recep-BreadSliced-None-Microwave-19/trial_T20190911_082218_676174,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BreadType) \n                (receptacleType ?r MicrowaveType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(SliceObject_60 env_state env bread)\n(PickupObject_211 env_state env bread)\n(PutObjectInReceptacle_12 env_state env bread microwave)')",False,"SliceObject_60, PickupObject_211, PutObjectInReceptacle_12",
train/pick_heat_then_place_in_recep-Potato-None-GarbageCan-12/trial_T20190907_125521_042428,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(HeatObject_30 env_state env potato microwave)\n(PutObjectInReceptacle_629 env_state env potato garbagecan)')",False,"HeatObject_30, PutObjectInReceptacle_629",
train/pick_and_place_simple-Box-None-DiningTable-223/trial_T20190907_201444_740434,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BoxType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_70 env_state env box)\n(PutObjectInReceptacle_543 env_state env box diningtable)')",True,"PickupObject_70, PutObjectInReceptacle_543","PickupObject_70, PutObjectInReceptacle_543"
train/pick_cool_then_place_in_recep-PotatoSliced-None-DiningTable-27/trial_T20190908_030342_504066,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_113 env_state env potato)\n(SliceObject_74 env_state env potato)\n(CoolObject_21 env_state env potato fridge)\n(PickupObject_572 env_state env potato)\n(PutObjectInReceptacle_682 env_state env potato diningtable)')",False,"PickupObject_113, SliceObject_74, CoolObject_21, PickupObject_572, PutObjectInReceptacle_682",PickupObject_113
train/pick_heat_then_place_in_recep-TomatoSliced-None-Fridge-15/trial_T20190909_005143_132045,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_99 env_state env tomato)\n(SliceObject_4 env_state env tomato)\n(PutObjectInReceptacle_116 env_state env tomato stoveburner)\n(ToggleObjectOn_48 env_state env stoveburner)\n(ToggleObjectOff_26 env_state env stoveburner)\n(PickupObject_876 env_state env tomato)\n(PutObjectInReceptacle_454 env_state env tomato fridge)')",False,"PickupObject_99, SliceObject_4, PutObjectInReceptacle_116, ToggleObjectOn_48, ToggleObjectOff_26, PickupObject_876, PutObjectInReceptacle_454",
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220147_111155,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o LettuceType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r) \n                (sliceable ?o)\n                (isSliced ?o) \n            )\n    )))', '(PickupObject_921 env_state env knife)\n(PickupObject_219 env_state env lettuce)\n(PutObjectInReceptacle_311 env_state env lettuce diningtable)\n(SliceObject_216 env_state env lettuce)')",False,"PickupObject_921, PickupObject_219, PutObjectInReceptacle_311, SliceObject_216",PickupObject_921
train/look_at_obj_in_light-Bowl-None-DeskLamp-302/trial_T20190907_190751_819937,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o BowlType)\n                (holds ?a ?o)\n            )\n    ))))))', '(ToggleLampOn_4 env_state env floorlamp)\n(PickupBowl_0 env_state env bowl)\n(PlaceBowlUnderLamp_0 env_state env bowl coffeetable)')",False,"ToggleLampOn_4, PickupBowl_0, PlaceBowlUnderLamp_0",
train/pick_heat_then_place_in_recep-TomatoSliced-None-Fridge-19/trial_T20190907_162559_502428,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(SliceObject_41 env_state env tomato)\n(ToggleObjectOn_25 env_state env stoveburner)\n(HeatObject_67 env_state env tomato stoveburner)\n(PickupObject_211 env_state env tomato)\n(PutObjectInReceptacle_112 env_state env tomato fridge)')",False,"SliceObject_41, ToggleObjectOn_25, HeatObject_67, PickupObject_211, PutObjectInReceptacle_112",
train/pick_heat_then_place_in_recep-Cup-None-Cabinet-18/trial_T20190907_150623_388922,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o CupType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_450 env_state env glassbottle)\n(HeatObject_51 env_state env glassbottle microwave)\n(RetrieveObjectFromMicrowave_0 env_state env glassbottle microwave)\n(PutObjectInReceptacle_598 env_state env glassbottle cabinet)')",False,"PickupObject_450, HeatObject_51, RetrieveObjectFromMicrowave_0, PutObjectInReceptacle_598",
train/pick_cool_then_place_in_recep-BreadSliced-None-Microwave-6/trial_T20190909_115420_904817,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BreadType) \n                (receptacleType ?r MicrowaveType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_567 env_state env bread)\n(CoolObject_3 env_state env bread fridge)\n(OpenObject_28 env_state env microwave)\n(PutObject_43 env_state env bread microwave)\n(CloseObject_13 env_state env microwave)')",False,"PickupObject_567, CoolObject_3, OpenObject_28, PutObject_43, CloseObject_13",PickupObject_567
train/look_at_obj_in_light-RemoteControl-None-FloorLamp-210/trial_T20190909_005614_868994,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o RemoteControlType)\n                (holds ?a ?o)\n            )\n    ))))))', '(ToggleObjectOn_121 env_state env floorlamp)\n(PickupObject_459 env_state env remotecontrol)\n(PutObjectInReceptacle_185 env_state env remotecontrol sidetable)')",False,"ToggleObjectOn_121, PickupObject_459, PutObjectInReceptacle_185","ToggleObjectOn_121, PickupObject_459"
train/look_at_obj_in_light-CreditCard-None-FloorLamp-216/trial_T20190907_160540_519104,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CreditCardType)\n                (holds ?a ?o)\n            )\n    ))))))', '(PickupObject_764 env_state env creditcard)\n(ToggleObjectOn_178 env_state env floorlamp)')",False,"PickupObject_764, ToggleObjectOn_178",PickupObject_764
train/pick_heat_then_place_in_recep-TomatoSliced-None-GarbageCan-23/trial_T20190909_034745_393039,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_254 env_state env tomato)\n(SliceObject_284 env_state env tomato)\n(HeatObject_23 env_state env tomato stoveburner)\n(ThrowAwayObject_3 env_state env tomato garbagecan)')",False,"PickupObject_254, SliceObject_284, HeatObject_23, ThrowAwayObject_3",
train/look_at_obj_in_light-Pen-None-FloorLamp-212/trial_T20190907_000516_042741,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o PenType)\n                (holds ?a ?o)\n            )\n    ))))))', '(PickupObject_1132 env_state env pen)\n(ToggleObjectOn_176 env_state env floorlamp)')",False,"PickupObject_1132, ToggleObjectOn_176",
train/pick_heat_then_place_in_recep-PotatoSliced-None-SinkBasin-24/trial_T20190918_232253_006450,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_1126 env_state env potato)\n(SliceObject_28 env_state env potato)\n(ToggleObjectOn_36 env_state env stoveburner)\n(PutObject_1 env_state env potato sinkbasin)')",False,"PickupObject_1126, SliceObject_28, ToggleObjectOn_36, PutObject_1",PickupObject_1126
